# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S008ABE0133,06:08:33.89,-36:08:02.72,SWOPE,r,300.0,0.0014184595457179992,False
S008ABE0134,05:46:47.74,-33:38:59.12,SWOPE,r,300.0,0.0013927647180582065,False
S008ABE0135,06:07:56.30,-31:39:44.24,SWOPE,r,300.0,0.0013751036127645417,False
S008ABE0136,05:49:28.37,-29:40:29.36,SWOPE,r,300.0,0.001374907386481221,False
S008ABE0137,06:03:00.95,-27:41:14.48,SWOPE,r,300.0,0.0013634609277918875,False
S008ABE0138,05:58:46.53,-36:37:51.44,SWOPE,r,300.0,0.0013629528753606654,False
S008ABE0139,06:03:10.71,-30:10:18.08,SWOPE,r,300.0,0.001355877961627332,False
S008ABE0140,06:05:36.74,-31:39:44.24,SWOPE,r,300.0,0.0013545413059973654,False
S008ABE0141,05:44:29.12,-33:09:10.40,SWOPE,r,300.0,0.0013493774632356971,False
S008ABE0142,06:12:46.12,-32:39:21.68,SWOPE,r,300.0,0.0013486435189785017,False
S008ABE0143,06:08:00.07,-32:09:32.96,SWOPE,r,300.0,0.0013362535561406003,False
S008ABE0144,05:46:44.41,-34:08:47.84,SWOPE,r,300.0,0.0013160989818602488,False
S008ABE0145,05:47:03.24,-31:09:55.52,SWOPE,r,300.0,0.0013136131200609652,False
S008ABE0146,05:58:48.49,-37:37:28.88,SWOPE,r,300.0,0.001308375511190611,False
S008ABE0147,05:47:11.66,-29:40:29.36,SWOPE,r,300.0,0.0013040968022023575,False
S008ABE0148,05:53:50.50,-36:37:51.44,SWOPE,r,300.0,0.0013032135756840208,False
S008ABE0149,05:44:33.08,-32:39:21.68,SWOPE,r,300.0,0.0012914364319584382,False
S008ABE0150,05:56:18.52,-37:37:28.88,SWOPE,r,300.0,0.0012506501045573904,False
S008ABE0151,06:03:42.57,-36:37:51.44,SWOPE,r,300.0,0.0012417901816962741,False
S008ABE0152,05:54:02.47,-29:10:40.64,SWOPE,r,300.0,0.0012393378877654474,False
S008ABE0153,05:45:19.39,-25:41:59.60,SWOPE,r,300.0,0.0012310338923528696,False
S008ABE0154,05:47:31.22,-25:41:59.60,SWOPE,r,300.0,0.0012055312154227388,False
S008ABE0155,06:13:28.04,-36:08:02.72,SWOPE,r,300.0,0.001192368813213743,False
S008ABE0156,05:49:05.37,-34:38:36.56,SWOPE,r,300.0,0.0011912867844154997,False
S008ABE0157,06:13:21.61,-35:38:14.00,SWOPE,r,300.0,0.001177436528436334,False
S008ABE0158,06:00:49.31,-28:40:51.92,SWOPE,r,300.0,0.0011757472831106493,False
S008ABE0159,06:01:14.55,-36:37:51.44,SWOPE,r,300.0,0.0011735037393852516,False
S008ABE0160,06:01:16.48,-37:07:40.16,SWOPE,r,300.0,0.001165926649540952,False
S008ABE0161,05:49:30.37,-29:10:40.64,SWOPE,r,300.0,0.001160769723927882,False
S008ABE0162,06:10:44.81,-34:38:36.56,SWOPE,r,300.0,0.0011592061540325394,False
S008ABE0163,06:00:48.04,-28:11:03.20,SWOPE,r,300.0,0.001158747229841821,False
S008ABE0164,05:51:46.42,-29:10:40.64,SWOPE,r,300.0,0.0011528838619565469,False
S008ABE0165,05:51:47.72,-28:40:51.92,SWOPE,r,300.0,0.0011518343309462773,False
S008ABE0166,05:56:18.52,-37:07:40.16,SWOPE,r,300.0,0.001140442167498135,False
S008ABE0167,06:10:55.45,-35:38:14.00,SWOPE,r,300.0,0.0011321476023964854,False
S008ABE0168,05:58:47.50,-37:07:40.16,SWOPE,r,300.0,0.001131076495790998,False
S008ABE0169,05:49:34.23,-28:11:03.20,SWOPE,r,300.0,0.0011147921716737946,False
S008ABE0170,05:51:48.99,-28:11:03.20,SWOPE,r,300.0,0.0011098119239068814,False
S008ABE0171,06:07:52.61,-31:09:55.52,SWOPE,r,300.0,0.0010879150456199736,False
S008ABE0172,06:12:40.70,-32:09:32.96,SWOPE,r,300.0,0.0010865574171770934,False
S008ABE0173,06:03:45.47,-37:07:40.16,SWOPE,r,300.0,0.0010862119613884668,False
S008ABE0174,06:05:30.91,-30:40:06.80,SWOPE,r,300.0,0.0010836516762911517,False
S008ABE0175,06:10:20.39,-32:09:32.96,SWOPE,r,300.0,0.0010783654571273793,False
S008ABE0176,05:49:32.33,-28:40:51.92,SWOPE,r,300.0,0.001060866422996262,False
S008ABE0177,05:54:03.75,-28:11:03.20,SWOPE,r,300.0,0.001045161949348542,False
S008ABE0178,06:11:06.63,-36:37:51.44,SWOPE,r,300.0,0.0010339929236069549,False
S008ABE0179,06:08:38.61,-36:37:51.44,SWOPE,r,300.0,0.001028193789286423,False
S008ABE0180,06:11:18.36,-37:37:28.88,SWOPE,r,300.0,0.0010027541263464169,False
S008ABE0181,06:06:14.45,-37:07:40.16,SWOPE,r,300.0,0.0009987090479464014,False
S008ABE0182,05:44:54.94,-29:40:29.36,SWOPE,r,300.0,0.0009937117642066352,False
S008ABE0183,06:13:34.64,-36:37:51.44,SWOPE,r,300.0,0.0009868885314404708,False
S008ABE0184,06:05:33.79,-31:09:55.52,SWOPE,r,300.0,0.0009775016693168424,False
S008ABE0185,05:56:18.52,-28:11:03.20,SWOPE,r,300.0,0.0009681274387606621,False
S008ABE0186,06:08:43.44,-37:07:40.16,SWOPE,r,300.0,0.0009653085668951697,False
S008ABE0187,06:13:15.32,-35:08:25.28,SWOPE,r,300.0,0.0009503490374877056,False
S008ABE0188,06:12:35.41,-31:39:44.24,SWOPE,r,300.0,0.0009457947858699796,False
S008ABE0189,05:44:44.42,-31:09:55.52,SWOPE,r,300.0,0.0009454001554004873,False
S008ABE0190,05:54:03.12,-28:40:51.92,SWOPE,r,300.0,0.0009310249013450029,False
S008ABE0191,06:10:15.85,-31:39:44.24,SWOPE,r,300.0,0.0009280680071939566,False
S008ABE0192,06:13:03.21,-34:08:47.84,SWOPE,r,300.0,0.0009255346716367563,False
S008ABE0193,06:11:12.42,-37:07:40.16,SWOPE,r,300.0,0.000921598878493523,False
S008ABE0194,05:46:40.99,-34:38:36.56,SWOPE,r,300.0,0.0009182790100126209,False
S008ABE0195,05:51:50.23,-27:41:14.48,SWOPE,r,300.0,0.0009121539557756821,False
S008ABE0196,05:58:33.28,-28:11:03.20,SWOPE,r,300.0,0.0008871869539550862,False
S008ABE0197,06:07:49.01,-30:40:06.80,SWOPE,r,300.0,0.0008868360199654918,False
S008ABE0198,05:49:00.05,-35:38:14.00,SWOPE,r,300.0,0.000874279394774674,False
