# FieldName,FieldRA,FieldDec,Telscope,Filter,ExpTime,Priority,Status
S025AAE00112,21:16:27.40,+15:52:03.66,SWOPE,R,300.0,0.0021908588792441757,False
S025AAE00113,21:14:00.11,+13:53:03.21,SWOPE,R,300.0,0.0021898808359406925,False
S025AAE00114,21:07:04.70,+11:54:02.75,SWOPE,R,300.0,0.002181537421262742,False
S025AAE00115,20:56:01.29,+05:57:01.39,SWOPE,R,300.0,0.002175643642613746,False
S025AAE00116,20:50:03.28,+05:57:01.39,SWOPE,R,300.0,0.0021536355715425903,False
S025AAE00117,20:49:15.86,+07:56:01.84,SWOPE,R,300.0,0.0020984284115340758,False
S025AAE00118,21:04:16.03,+09:55:02.30,SWOPE,R,300.0,0.00207123305047524,False
S025AAE00119,20:52:18.15,+05:27:16.27,SWOPE,R,300.0,0.0020619846247881476,False
S025AAE00120,20:54:17.32,+05:27:16.27,SWOPE,R,300.0,0.0020291077774676133,False
S025AAE00121,21:15:59.30,+16:21:48.78,SWOPE,R,300.0,0.0019656273297232827,False
S025AAE00122,21:04:36.88,+15:22:18.55,SWOPE,R,300.0,0.0019545113934530327,False
S025AAE00123,21:02:45.20,+08:55:32.07,SWOPE,R,300.0,0.0019344860875287412,False
S025AAE00124,21:05:47.36,+10:54:32.52,SWOPE,R,300.0,0.0019229518787457715,False
S025AAE00125,21:16:55.34,+15:22:18.55,SWOPE,R,300.0,0.001902252749182806,False
S025AAE00126,21:03:19.12,+14:22:48.32,SWOPE,R,300.0,0.001878695125352181,False
S025AAE00127,21:15:34.44,+14:22:48.32,SWOPE,R,300.0,0.001873836499212188,False
S025AAE00128,21:18:03.09,+16:21:48.78,SWOPE,R,300.0,0.0018615756843791333,False
S025AAE00129,21:06:10.26,+15:52:03.66,SWOPE,R,300.0,0.0018498984524397796,False
S025AAE00130,21:13:41.17,+16:51:33.89,SWOPE,R,300.0,0.0018492690446092956,False
S025AAE00131,21:00:30.36,+12:53:32.98,SWOPE,R,300.0,0.001833813742095034,False
S025AAE00132,20:59:45.00,+06:56:31.61,SWOPE,R,300.0,0.0018231701496958463,False
S025AAE00133,20:47:48.03,+06:26:46.50,SWOPE,R,300.0,0.0018222490608063317,False
S025AAE00134,20:50:28.38,+09:25:17.18,SWOPE,R,300.0,0.0018221993556692554,False
S025AAE00135,20:56:57.96,+11:54:02.75,SWOPE,R,300.0,0.0018207191932836419,False
S025AAE00136,21:09:06.05,+11:54:02.75,SWOPE,R,300.0,0.0018057473465492118,False
S025AAE00137,21:01:46.87,+13:53:03.21,SWOPE,R,300.0,0.0018034737741259672,False
S025AAE00138,21:07:33.72,+11:24:17.64,SWOPE,R,300.0,0.001785955861564915,False
S025AAE00139,21:15:45.13,+16:51:33.89,SWOPE,R,300.0,0.0017813309498623917,False
S025AAE00140,20:48:59.97,+08:25:46.95,SWOPE,R,300.0,0.001765892598979885,False
S025AAE00141,21:04:30.72,+09:25:17.18,SWOPE,R,300.0,0.0017649042825797,False
S025AAE00142,20:53:42.33,+10:54:32.52,SWOPE,R,300.0,0.0017612210480850113,False
S025AAE00143,21:01:14.86,+07:56:01.84,SWOPE,R,300.0,0.0017447474341811895,False
S025AAE00144,20:58:44.01,+12:23:47.87,SWOPE,R,300.0,0.0017433169615526155,False
S025AAE00145,20:50:18.98,+05:27:16.27,SWOPE,R,300.0,0.0017409718502922286,False
S025AAE00146,21:06:01.97,+10:24:47.41,SWOPE,R,300.0,0.001735944448899986,False
S025AAE00147,20:55:27.67,+11:24:17.64,SWOPE,R,300.0,0.0017158055910541645,False
S025AAE00148,20:58:00.63,+05:57:01.39,SWOPE,R,300.0,0.0016784357639531644,False
S025AAE00149,21:07:44.18,+16:21:48.78,SWOPE,R,300.0,0.001664075282418699,False
S025AAE00150,20:47:47.99,+06:56:31.61,SWOPE,R,300.0,0.001663294576436317,False
S025AAE00151,20:56:16.49,+05:27:16.27,SWOPE,R,300.0,0.0016605979239620366,False
S025AAE00152,21:11:37.21,+16:51:33.89,SWOPE,R,300.0,0.0016421850555691946,False
S025AAE00153,20:54:17.36,+04:57:31.16,SWOPE,R,300.0,0.001633621524692398,False
S025AAE00154,21:17:09.30,+14:52:33.44,SWOPE,R,300.0,0.0016270189476288305,False
S025AAE00155,21:18:30.83,+15:52:03.66,SWOPE,R,300.0,0.0015920977813196587,False
S025AAE00156,20:59:45.05,+06:26:46.50,SWOPE,R,300.0,0.0015869337263405422,False
S025AAE00157,21:17:49.09,+16:51:33.89,SWOPE,R,300.0,0.0015786730145796284,False
S025AAE00158,21:11:08.15,+17:21:19.01,SWOPE,R,300.0,0.0015658673190147017,False
S025AAE00159,20:51:57.28,+10:24:47.41,SWOPE,R,300.0,0.0015647727465184413,False
S025AAE00160,20:52:18.18,+04:57:31.16,SWOPE,R,300.0,0.0015508775990870191,False
S025AAE00161,21:10:53.12,+12:23:47.87,SWOPE,R,300.0,0.0015379018661724245,False
S025AAE00162,21:17:21.10,+17:21:19.01,SWOPE,R,300.0,0.001536631855242768,False
S025AAE00163,21:09:33.25,+16:51:33.89,SWOPE,R,300.0,0.001525555862920443,False
S025AAE00164,21:13:12.46,+17:21:19.01,SWOPE,R,300.0,0.0015202684978146577,False
S025AAE00165,20:48:03.94,+05:57:01.39,SWOPE,R,300.0,0.001491156436133256,False
S025AAE00166,21:02:48.99,+14:52:33.44,SWOPE,R,300.0,0.001488309262198961,False
S025AAE00167,20:50:12.52,+09:55:02.30,SWOPE,R,300.0,0.001485148789289395,False
S025AAE00168,21:12:40.50,+12:53:32.98,SWOPE,R,300.0,0.0014828743878298736,False
S025AAE00169,21:07:48.20,+10:54:32.52,SWOPE,R,300.0,0.00148048992943762,False
S025AAE00170,21:01:29.70,+07:26:16.73,SWOPE,R,300.0,0.0014710317220730988,False
S025AAE00171,20:48:19.80,+05:27:16.27,SWOPE,R,300.0,0.0014590145415715363,False
S025AAE00172,21:15:16.78,+17:21:19.01,SWOPE,R,300.0,0.0014576107609184216,False
S025AAE00173,20:50:19.01,+04:57:31.16,SWOPE,R,300.0,0.0014504492643985898,False
S025AAE00174,20:58:28.67,+12:53:32.98,SWOPE,R,300.0,0.0014422254161908107,False
S025AAE00175,21:16:02.32,+13:53:03.21,SWOPE,R,300.0,0.0014414888523641462,False
S025AAE00176,21:06:16.54,+09:55:02.30,SWOPE,R,300.0,0.001441259055907499,False
S025AAE00177,21:19:25.41,+17:21:19.01,SWOPE,R,300.0,0.001424482002918166,False
S025AAE00178,20:59:59.97,+13:23:18.09,SWOPE,R,300.0,0.0014191287286902073,False
S025AAE00179,20:56:42.49,+12:23:47.87,SWOPE,R,300.0,0.0013961110851386353,False
S025AAE00180,21:14:14.21,+13:23:18.09,SWOPE,R,300.0,0.001395398313765156,False
S025AAE00181,21:02:59.97,+08:25:46.95,SWOPE,R,300.0,0.0013745820411412897,False
S025AAE00182,21:20:06.87,+16:21:48.78,SWOPE,R,300.0,0.001372854510053573,False
S025AAE00183,21:19:53.05,+16:51:33.89,SWOPE,R,300.0,0.0013676137826373583,False
S025AAE00184,20:50:34.66,+04:27:46.04,SWOPE,R,300.0,0.0013572671060991504,False
S025AAE00185,21:05:40.39,+16:21:48.78,SWOPE,R,300.0,0.001346790370621342,False
